old_lahmanID,new_lahmanID
jnikkxx01,nixja01
mcheixx01,chavimi01
surusxx01,ursosa01
josunxx01,osunajo01
lbiguxx01,bigbila01
mpataxx01,pattemi01
mshiexx01,sierrmo01
jkuroxx01,crawfjo01
mchirxx01,childma01
kmitcxx01,mitchke01
fbanixx01,bannifl01
nshiaxx01,schiena01
jnetoxx01,nettlji01
bbiinxx01,beanbi01
ymaruxx01,marteyu01
bboirxx01,voylebr01
sbawaxx01,bowersh01
sbaagxx01,bergmse01
aribexx01,riverad01
rdiaaxx01,deerro01
jbabixx01,barbiji01
pdoddxx01,dodsopa01
agurixx01,greenan01
rgatoxx01,guttori01
dkaarxx01,carlsda01
phaiaxx01,hiattph01
mkiioxx01,keougma02
jdentxx01,dantoja01
gkaraxx01,carragi01
tteirxx01,tilloth01
jkuorxx01,quallji01
fgaruxx03,galvifr01
srekkxx01,reccasa01
jrodoxx01,rodrijo01
bmakuxx01,mcnulbi01
lfiruxx01,filkile01
cmontxx01,monteco01
sramuxx01,rumst01
ebaruxx01,valdeed01
bheegxx01,hagenbr01
apauexx01,powelal01
jmaruxx03,marteje01
jgusuxx02,guzmaje01
prefuxx01,leftwph01
mburaxx04,brantmi01
asuarxx01,suareal01
rgazexx01,gsellro01
zniirxx01,nealza01
dhiisxx01,heathde01
jjonsxx01,johnsja01
cmanixx01,manuech01
pmahoxx01,mahompa01
fagurxx01,agcaofr01
rrodoxx01,rodriro01
jmenexx01,menesjo01
thojjxx01,hodgetr01
mfoodxx01,fordmi01
dburaxx01,brownde01
lakiixx01,aquinlu01
kabotxx01,abbotky01
rrabexx01,ravelra01
dhafuxx01,huffda01
lfoodxx01,fordle01
asancxx01,sanchan01
ghansxx01,hansegr01
tbaatxx01,birtsti01
mrainxx01,reinbmi01
dhorixx01,hollida01
jmakkxx01,mcmanji01
rjoonxx01,jonesru01
jrafixx01,lefebji01
sdenixx01,dennish01
bseruxx01,selbybi01
cburaxx02,brazecr01
dbussxx01,bussado01
garutxx01,altmage01
tmasuxx01,mastnto01
brodoxx01,rodribo01
aseraxx01,seratan01
dmoruxx01,molledu01
braabxx01,raabebr01
tdankxx01,duncata01
bburexx01,bredebr01
wappuxx01,upshawi01
tsorexx01,solaito01
csataxx01,satteco01
ediasxx01,diazed01
rgeinxx01,gaineru01
jtehaxx01,tejadju01
shainxx01,heinesc01
phoitxx01,foytapa01
fderaxx01,delacfe01
maburxx01,abreumi01
hpenxx01,pennha01
rboogxx01,vogelry01
kjonsxx01,johnskr01
hrunaxx01,lunahe01
trindxx01,lindeto01
fkasuxx02,castifa01
rbachxx02,batchri01
bboiyxx01,boyerbl01
roosuxx01,austiri01
dbiroxx01,belowdu01
jeidexx01,adairje01
eyangxx02,jungeer01
jgankxx01,gunkejo01
rkoojxx01,coseyra01
fjonsxx01,johnsfr01
dburixx01,briggda01
tbettxx01,bettsto01
csedoxx01,seddoch01
jhauexx01,howelja01
odesuxx01,destror01
pbaanxx01,burnspe01
rsantxx01,santoro01
kjaabxx01,jarvike01
jbaafxx01,barfije01
bmiraxx01,milacbo01
jbarixx01,barryje01
dbauaxx01,maibadi01
brajixx01,raggibr01
adikaxx01,dickeal01
lkairxx01,kielyle01
fgaruxx01,garcifr01
mmaasxx01,marshmi01
rbaasxx01,bassra01
sdoomxx01,dohmasc01
jyanxx01,yanje01
rkuruxx03,cruzrh01
jboorxx01,ballje01
jhikkxx01,hicksji01
shawaxx01,howarsp01
pgiruxx01,guilmpr01
jmaasxx01,marshji01
mromaxx01,romanmi01
cborexx01,bolesca01
dgonzxx01,gonzada01
dhaatxx01,hartgde01
gkyapxx01,kaplega01
tkookxx01,corcoti01
sfabixx01,fabiasa01
hbokaxx01,bocachi01
cbiyaxx01,villach01
sdaguxx01,douglse01
rrorixx01,lolicro01
wobisxx01,obispwi01
djonsxx02,johnsda01
gfuraxx01,franzge01
ghopuxx01,hopkiga01
tmuuaxx01,mooretr01
bmaacxx01,martibi01
cpegexx01,pegueca01
mkinixx01,kinnema01
jbeirxx01,balejo01
buirixx01,willibe01
tbiidxx01,beedety01
bpiitxx01,peterbu01
lkanpxx01,campole01
chookxx01,hawkico01
tbaanxx01,barneto01
jdoirxx01,doyleje01
lsancxx01,sanchlu01
fboorxx01,bolicfr01
jmantxx01,mantoje01
rransxx01,lanceri01
duoruxx01,waltoda01
kbaruxx01,vargake01
dorutxx01,aultdo01
ckaapxx01,carpech01
mfiarxx01,fyhrimi01
jhowaxx01,whiteje01
mpaguxx01,paglimi01
ehiruxx01,hillmer01
rboruxx01,boltoro01
kreguxx01,regnaky01
jbiizxx01,beaslje01
mbaruxx02,vargama01
rruupxx01,rupery01
rbarexx01,barreri01
jbosuxx01,vosleja01
bkurixx02,kriskbr01
tburyxx01,breweto01
mkinkxx01,kinkami01
thyuuxx01,hughetr01
tebanxx01,evansto01
msoroxx01,solommi01
karenxx01,allenki01
fgaruxx02,garcefr01
rshuuxx01,schuri01
bdakkxx01,duckwbr01
jmakexx01,mccabji01
wfurexx01,frasewi01
rkasuxx01,castiru01
sfokkxx01,foxst01
mburoxx01,brouhma01
fruisxx01,lewisfr01
rkukkxx01,cookry01
bmarexx01,mallebr01
jwagexx01,wagueja01
mkuraxx01,clarkma01
wredexx01,ledezwi01
rdeebxx02,davisro01
jaikexx01,eicheju01
juirixx02,willije01
juirixx01,williji01
frikkxx01,rickfr01
jraitxx01,lyttlji01
caanoxx01,arnolch01
guiruxx01,wilsoge01
esotoxx01,sotoen01
ashirxx01,ciriaau01
rhadoxx01,hudlere01
nrodoxx01,rodrine01
jagirxx01,aguilje01
jbaamxx01,baumeji01
dshurxx01,schuldo01
bogurxx02,ogradbr01
tburoxx01,brosste01
bhaapxx01,harpebr01
mdomixx01,dominma01
rramixx02,ramirra01
