playerID,yearID,stint,Glf,Gcf,Grf
asaihi01,2008,1,,,1
asaiit01,1995,1,6,,15
asaiit01,1996,1,,,8
asaiit01,1997,1,,,2
asaiit01,1999,1,,,1
asaiit01,2000,1,,16,15
asaiit01,2001,1,,3,34
asaiit01,2002,1,,,4
asaiit01,2003,1,,,16
asaiit01,2006,1,,1,
asairy01,2005,1,,,1
asairy01,2007,1,,,1
asairy01,2008,1,,2,10
asairy01,2009,1,,12,5
asairy01,2010,1,,33,
asairy01,2011,1,9,1,1
asairy01,2012,1,1,8,5
asairy01,2013,1,,,5
asaita01,1938,1,1,,
asakuke01,2002,1,,2,
asamata01,2015,1,2,13,22
asamata01,2016,1,3,4,18
asamata01,2017,1,3,,5
asamata01,2018,1,5,,17
asamata01,2020,1,5,4,2
asamata01,2021,1,7,84,7
asamata01,2022,1,15,12,25
asamata01,2023,1,,7,
asamata01,2024,1,4,13,7
asamata01,2025,1,8,10,3
asamuhi01,2011,1,47,,13
asamuhi01,2012,1,2,,
sandean01,2001,1,,1,12
asanoke01,1967,1,1,,
asanoke01,1971,1,1,,1
asanoke01,1981,1,1,,
asanosh01,2023,1,,2,6
asanosh01,2024,1,,3,35
asanosh01,2025,1,9,9,
asaoksa01,1939,1,5,,2
asaoksa01,1940,1,,,1
asaoksa01,1941,1,,,2
asaoksa01,1942,1,59,2,27
asayato01,2000,1,,14,7
asayato01,2001,1,,2,
asayato01,2003,1,,,11
asayato01,2004,1,6,,1
seratan01,2015,1,,,14
ashikyu01,1992,1,3,,1
asosa01,1965,1,1,,
asosa01,1966,1,,,3
stevean01,2024,1,13,,
walkead01,2022,1,94,,
walkead01,2022,2,1,,
walkead01,2023,1,20,,
walkead01,2024,1,1,,
awaguke01,1971,1,,,1
awaguke01,1972,1,,,2
awaguke01,1973,1,,,2
awaguke01,1974,1,8,1,1
awaguke01,1975,1,61,,24
awaguke01,1976,1,,22,43
awaguke01,1977,1,5,2,19
awaguke01,1978,1,4,4,6
awaguke01,1979,1,7,3,37
awaguke01,1980,1,38,1,50
awaguke01,1981,1,80,,9
awaguke01,1982,1,18,1,82
awaguke01,1983,1,88,2,20
awaguke01,1984,1,14,,28
awaguke01,1985,1,1,,6
awaguke01,1986,1,72,,
awaguke01,1987,1,30,,1
awaguke01,1988,1,37,3,10
awaguke01,1989,1,23,4,1
awanohi01,1987,1,6,,
awanohi01,1989,1,1,2,
awanohi01,1992,1,,,2
awanohi01,1993,1,,,1
awanohi01,1999,1,,,3
azumaju01,2025,1,1,,
azumami01,1957,1,1,,
azumami01,1958,1,,1,1
azumasa01,1961,1,3,,1
azumate01,1987,1,1,,
